Time (s),Pump 1 (uL/min),Pump 2 (uL/min)
0,400.0006932,399.9993068
0.08333333,399.7399133,400.2600867
0.16666666,399.4791361,400.5208639
0.24999999,399.2183656,400.7816344
0.33333332,398.9576045,401.0423955
0.41666665,398.6968559,401.3031441
0.49999998,398.4361235,401.5638765
0.58333331,398.1754104,401.8245896
0.66666664,397.9147192,402.0852808
0.74999997,397.6540535,402.3459465
0.8333333,397.3934165,402.6065835
0.91666663,397.1328109,402.8671891
0.99999996,396.8722406,403.1277594
1.08333329,396.6117089,403.3882911
1.16666662,396.351218,403.648782
1.24999995,396.0907718,403.9092282
1.33333328,395.8303732,404.1696268
1.41666661,395.5700256,404.4299744
1.49999994,395.3097318,404.6902682
1.58333327,395.0494953,404.9505047
1.6666666,394.7893193,405.2106807
1.74999993,394.5292069,405.4707931
1.83333326,394.2691613,405.7308387
1.91666659,394.0091855,405.9908145
1.99999992,393.7492828,406.2507172
2.08333325,393.4894563,406.5105437
2.16666658,393.2297094,406.7702906
2.24999991,392.9700451,407.0299549
2.33333324,392.7104662,407.2895338
2.41666657,392.4509766,407.5490234
2.4999999,392.1915788,407.8084212
2.58333323,391.9322764,408.0677236
2.66666656,391.6730725,408.3269275
2.74999989,391.4139704,408.5860296
2.83333322,391.1549726,408.8450274
2.91666655,390.8960828,409.1039172
2.99999988,390.6373041,409.3626959
3.08333321,390.3786397,409.6213603
3.16666654,390.1200926,409.8799074
3.24999987,389.861666,410.138334
3.3333332,389.6033631,410.3966369
3.41666653,389.345187,410.654813
3.49999986,389.0871408,410.9128592
3.58333319,388.8292281,411.1707719
3.66666652,388.5714511,411.4285489
3.74999985,388.313814,411.686186
3.83333318,388.0563192,411.9436808
3.91666651,387.7989706,412.2010294
3.99999984,387.5417702,412.4582298
4.08333317,387.2847221,412.7152779
4.1666665,387.0278291,412.9721709
4.24999983,386.7710941,413.2289059
4.33333316,386.5145205,413.4854795
4.41666649,386.2581117,413.7418883
4.49999982,386.0018705,413.9981295
4.58333315,385.7458,414.2542
4.66666648,385.4899033,414.5100967
4.74999981,385.2341836,414.7658164
4.83333314,384.9786439,415.0213561
4.91666647,384.7232879,415.2767121
4.9999998,384.4681179,415.5318821
5.08333313,384.2131373,415.7868627
5.16666646,383.9583494,416.0416506
5.24999979,383.7037573,416.2962427
5.33333312,383.4493636,416.5506364
5.41666645,383.1951725,416.8048275
5.49999978,382.941186,417.058814
5.58333311,382.6874075,417.3125925
5.66666644,382.4338404,417.5661596
5.74999977,382.1804874,417.8195126
5.8333331,381.9273517,418.0726483
5.91666643,381.6744365,418.3255635
5.99999976,381.4217452,418.5782548
6.08333309,381.1692802,418.8307198
6.16666642,380.917045,419.082955
6.24999975,380.6650428,419.3349572
6.33333308,380.4132762,419.5867238
6.41666641,380.1617484,419.8382516
6.49999974,379.9104629,420.0895371
6.58333307,379.6594221,420.3405779
6.6666664,379.4086299,420.5913701
6.74999973,379.1580886,420.8419114
6.83333306,378.9078013,421.0921987
6.91666639,378.6577716,421.3422284
6.99999972,378.4080026,421.5919974
7.08333305,378.1584966,421.8415034
7.16666638,377.9092568,422.0907432
7.24999971,377.660287,422.339713
7.33333304,377.4115892,422.5884108
7.41666637,377.1631674,422.8368326
7.4999997,376.9150238,423.0849762
7.58333303,376.667162,423.332838
7.66666636,376.4195851,423.5804149
7.74999969,376.1722954,423.8277046
7.83333302,375.9252964,424.0747036
7.91666635,375.6785913,424.3214087
7.99999968,375.4321828,424.5678172
8.08333301,375.186074,424.813926
8.16666634,374.940268,425.059732
8.24999967,374.6947676,425.3052324
8.333333,374.4495759,425.5504241
8.41666633,374.2046955,425.7953045
8.49999966,373.96013,426.03987
8.58333299,373.7158827,426.2841173
8.66666632,373.4719552,426.5280448
8.74999965,373.2283516,426.7716484
8.83333298,372.9850751,427.0149249
8.91666631,372.7421274,427.2578726
8.99999964,372.4995125,427.5004875
9.08333297,372.2572332,427.7427668
9.1666663,372.0152922,427.9847078
9.24999963,371.7736925,428.2263075
9.33333296,371.5324373,428.4675627
9.41666629,371.2915293,428.7084707
9.49999962,371.0509713,428.9490287
9.58333295,370.8107667,429.1892333
9.66666628,370.5709178,429.4290822
9.74999961,370.3314282,429.6685718
9.83333294,370.0923005,429.9076995
9.91666627,369.8535376,430.1464624
9.9999996,369.6151425,430.3848575
10.08333293,369.3771178,430.6228822
10.16666626,369.1394668,430.8605332
10.24999959,368.9021926,431.0978074
10.33333292,368.6652973,431.3347027
10.41666625,368.4287843,431.5712157
10.49999958,368.1926564,431.8073436
10.58333291,367.9569166,432.0430834
10.66666624,367.7215679,432.2784321
10.74999957,367.4866125,432.5133875
10.8333329,367.252054,432.747946
10.91666623,367.0178952,432.9821048
10.99999956,366.7841382,433.2158618
11.08333289,366.5507866,433.4492134
11.16666622,366.3178432,433.6821568
11.24999955,366.0853106,433.9146894
11.33333288,365.8531915,434.1468085
11.41666621,365.621489,434.378511
11.49999954,365.3902059,434.6097941
11.58333287,365.1593452,434.8406548
11.6666662,364.9289092,435.0710908
11.74999953,364.6989011,435.3010989
11.83333286,364.4693235,435.5306765
11.91666619,364.2401796,435.7598204
11.99999952,364.011472,435.988528
12.08333285,363.783203,436.216797
12.16666618,363.5553762,436.4446238
12.24999951,363.3279933,436.6720067
12.33333284,363.1010585,436.8989415
12.41666617,362.8745734,437.1254266
12.4999995,362.6485413,437.3514587
12.58333283,362.4229648,437.5770352
12.66666616,362.1978466,437.8021534
12.74999949,361.9731898,438.0268102
12.83333282,361.7489967,438.2510033
12.91666615,361.52527,438.47473
12.99999948,361.3020128,438.6979872
13.08333281,361.0792278,438.9207722
13.16666614,360.8569176,439.1430824
13.24999947,360.6350846,439.3649154
13.3333328,360.4137318,439.5862682
13.41666613,360.192862,439.807138
13.49999946,359.9724778,440.0275222
13.58333279,359.752582,440.247418
13.66666612,359.5331771,440.4668229
13.74999945,359.3142659,440.6857341
13.83333278,359.0958507,440.9041493
13.91666611,358.8779345,441.1220655
13.99999944,358.6605201,441.3394799
14.08333277,358.4436102,441.5563898
14.1666661,358.2272069,441.7727931
14.24999943,358.011313,441.988687
14.33333276,357.7959316,442.2040684
14.41666609,357.581065,442.418935
14.49999942,357.3667158,442.6332842
14.58333275,357.1528868,442.8471132
14.66666608,356.9395801,443.0604199
14.74999941,356.7267989,443.2732011
14.83333274,356.5145455,443.4854545
14.91666607,356.3028229,443.6971771
14.9999994,356.091633,443.908367
15.08333273,355.8809785,444.1190215
15.16666606,355.6708625,444.3291375
15.24999939,355.4612872,444.5387128
15.33333272,355.2522553,444.7477447
15.41666605,355.0437691,444.9562309
15.49999938,354.8358312,445.1641688
15.58333271,354.6284444,445.3715556
15.66666604,354.4216113,445.5783887
15.74999937,354.2153338,445.7846662
15.8333327,354.0096148,445.9903852
15.91666603,353.8044568,446.1955432
15.99999936,353.5998624,446.4001376
16.08333269,353.3958342,446.6041658
16.16666602,353.1923746,446.8076254
16.24999935,352.9894857,447.0105143
16.33333268,352.7871702,447.2128298
16.41666601,352.5854305,447.4145695
16.49999934,352.3842695,447.6157305
16.58333267,352.1836892,447.8163108
16.666666,351.9836921,448.0163079
16.74999933,351.784281,448.215719
16.83333266,351.5854577,448.4145423
16.91666599,351.3872253,448.6127747
16.99999932,351.1895857,448.8104143
17.08333265,350.9925414,449.0074586
17.16666598,350.7960952,449.2039048
17.24999931,350.6002488,449.3997512
17.33333264,350.4050055,449.5949945
17.41666597,350.210367,449.789633
17.4999993,350.0163359,449.9836641
17.58333263,349.8229142,450.1770858
17.66666596,349.6301048,450.3698952
17.74999929,349.4379101,450.5620899
17.83333262,349.2463319,450.7536681
17.91666595,349.0553728,450.9446272
17.99999928,348.8650351,451.1349649
18.08333261,348.6753214,451.3246786
18.16666594,348.4862336,451.5137664
18.24999927,348.2977739,451.7022261
18.3333326,348.1099454,451.8900546
18.41666593,347.9227495,452.0772505
18.49999926,347.7361893,452.2638107
18.58333259,347.5502662,452.4497338
18.66666592,347.3649832,452.6350168
18.74999925,347.1803423,452.8196577
18.83333258,346.9963451,453.0036549
18.91666591,346.8129953,453.1870047
18.99999924,346.6302937,453.3697063
19.08333257,346.4482435,453.5517565
19.1666659,346.2668461,453.7331539
19.24999923,346.0861045,453.9138955
19.33333256,345.9060206,454.0939794
19.41666589,345.7265962,454.2734038
19.49999922,345.5478343,454.4521657
19.58333255,345.3697364,454.6302636
19.66666588,345.1923051,454.8076949
19.74999921,345.0155422,454.9844578
19.83333254,344.83945,455.16055
19.91666587,344.6640307,455.3359693
19.9999992,344.489286,455.510714
20.08333253,344.3152192,455.6847808
20.16666586,344.1418311,455.8581689
20.24999919,343.9691244,456.0308756
20.33333252,343.7971014,456.2028986
20.41666585,343.6257642,456.3742358
20.49999918,343.4551143,456.5448857
20.58333251,343.2851543,456.7148457
20.66666584,343.115886,456.884114
20.74999917,342.9473117,457.0526883
20.8333325,342.7794335,457.2205665
20.91666583,342.6122534,457.3877466
20.99999916,342.445773,457.554227
21.08333249,342.2799946,457.7200054
21.16666582,342.1149205,457.8850795
21.24999915,341.9505524,458.0494476
21.33333248,341.7868927,458.2131073
21.41666581,341.6239425,458.3760575
21.49999914,341.4617047,458.5382953
21.58333247,341.3001814,458.6998186
21.6666658,341.1393736,458.8606264
21.74999913,340.979284,459.020716
21.83333246,340.8199142,459.1800858
21.91666579,340.6612667,459.3387333
21.99999912,340.5033427,459.4966573
22.08333245,340.3461444,459.6538556
22.16666578,340.1896741,459.8103259
22.24999911,340.0339332,459.9660668
22.33333244,339.8789238,460.1210762
22.41666577,339.7246479,460.2753521
22.4999991,339.5711071,460.4288929
22.58333243,339.4183032,460.5816968
22.66666576,339.2662386,460.7337614
22.74999909,339.1149149,460.8850851
22.83333242,338.9643336,461.0356664
22.91666575,338.8144973,461.1855027
22.99999908,338.665407,461.334593
23.08333241,338.5170652,461.4829348
23.16666574,338.369473,461.630527
23.24999907,338.2226329,461.7773671
23.3333324,338.0765464,461.9234536
23.41666573,337.9312152,462.0687848
23.49999906,337.7866406,462.2133594
23.58333239,337.6428255,462.3571745
23.66666572,337.499771,462.500229
23.74999905,337.357479,462.642521
23.83333238,337.2159509,462.7840491
23.91666571,337.0751889,462.9248111
23.99999904,336.9351942,463.0648058
24.08333237,336.7959688,463.2040312
24.1666657,336.6575144,463.3424856
24.24999903,336.5198328,463.4801672
24.33333236,336.3829254,463.6170746
24.41666569,336.2467943,463.7532057
24.49999902,336.1114405,463.8885595
24.58333235,335.9768662,464.0231338
24.66666568,335.8430733,464.1569267
24.74999901,335.7100625,464.2899375
24.83333234,335.5778362,464.4221638
24.91666567,335.4463957,464.5536043
24.999999,335.3157423,464.6842577
25.08333233,335.1858783,464.8141217
25.16666566,335.0568051,464.9431949
25.24999899,334.9285234,465.0714766
25.33333232,334.801036,465.198964
25.41666565,334.6743439,465.3256561
25.49999898,334.5484487,465.4515513
25.58333231,334.4233519,465.5766481
25.66666564,334.2990547,465.7009453
25.74999897,334.175559,465.824441
25.8333323,334.0528666,465.9471334
25.91666563,333.9309784,466.0690216
25.99999896,333.8098965,466.1901035
26.08333229,333.6896215,466.3103785
26.16666562,333.5701556,466.4298444
26.24999895,333.4515001,466.5484999
26.33333228,333.3336564,466.6663436
26.41666561,333.2166258,466.7833742
26.49999894,333.1004097,466.8995903
26.58333227,332.9850098,467.0149902
26.6666656,332.8704275,467.1295725
26.74999893,332.7566637,467.2433363
26.83333226,332.6437207,467.3562793
26.91666559,332.5315993,467.4684007
26.99999892,332.4203004,467.5796996
27.08333225,332.3098263,467.6901737
27.16666558,332.2001779,467.7998221
27.24999891,332.091356,467.908644
27.33333224,331.9833629,468.0166371
27.41666557,331.8761995,468.1238005
27.4999989,331.7698671,468.2301329
27.58333223,331.6643672,468.3356328
27.66666556,331.5597005,468.4402995
27.74999889,331.4558689,468.5441311
27.83333222,331.3528732,468.6471268
27.91666555,331.2507149,468.7492851
27.99999888,331.1493952,468.8506048
28.08333221,331.0489155,468.9510845
28.16666554,330.9492772,469.0507228
28.24999887,330.8504806,469.1495194
28.3333322,330.7525281,469.2474719
28.41666553,330.6554201,469.3445799
28.49999886,330.5591579,469.4408421
28.58333219,330.4637424,469.5362576
28.66666552,330.3691759,469.6308241
28.74999885,330.2754583,469.7245417
28.83333218,330.182591,469.817409
28.91666551,330.0905759,469.9094241
28.99999884,329.9994132,470.0005868
29.08333217,329.9091045,470.0908955
29.1666655,329.819651,470.180349
29.24999883,329.7310532,470.2689468
29.33333216,329.6433128,470.3566872
29.41666549,329.5564308,470.4435692
29.49999882,329.4704077,470.5295923
29.58333215,329.3852451,470.6147549
29.66666548,329.3009441,470.6990559
29.74999881,329.2175054,470.7824946
29.83333214,329.13493,470.86507
29.91666547,329.0532189,470.9467811
29.9999988,328.9723737,471.0276263
30.08333213,328.8923945,471.1076055
30.16666546,328.8132831,471.1867169
30.24999879,328.7350399,471.2649601
30.33333212,328.6576658,471.3423342
30.41666545,328.5811622,471.4188378
30.49999878,328.5055295,471.4944705
30.58333211,328.430769,471.569231
30.66666544,328.3568817,471.6431183
30.74999877,328.2838685,471.7161315
30.8333321,328.2117297,471.7882703
30.91666543,328.1404668,471.8595332
30.99999876,328.0700802,471.9299198
31.08333209,328.0005716,471.9994284
31.16666542,327.9319407,472.0680593
31.24999875,327.8641892,472.1358108
31.33333208,327.7973176,472.2026824
31.41666541,327.7313268,472.2686732
31.49999874,327.6662176,472.3337824
31.58333207,327.6019905,472.3980095
31.6666654,327.5386469,472.4613531
31.74999873,327.4761868,472.5238132
31.83333206,327.4146118,472.5853882
31.91666539,327.3539217,472.6460783
31.99999872,327.2941182,472.7058818
32.08333205,327.2352013,472.7647987
32.16666538,327.1771723,472.8228277
32.24999871,327.1200317,472.8799683
32.33333204,327.0637799,472.9362201
32.41666537,327.0084174,472.9915826
32.4999987,326.953946,473.046054
32.58333203,326.9003652,473.0996348
32.66666536,326.8476764,473.1523236
32.74999869,326.7958795,473.2041205
32.83333202,326.7449759,473.2550241
32.91666535,326.6949657,473.3050343
32.99999868,326.6458497,473.3541503
33.08333201,326.5976287,473.4023713
33.16666534,326.5503029,473.4496971
33.24999867,326.5038735,473.4961265
33.333332,326.4583402,473.5416598
33.41666533,326.4137041,473.5862959
33.49999866,326.3699654,473.6300346
33.58333199,326.327125,473.672875
33.66666532,326.2851837,473.7148163
33.74999865,326.2441411,473.7558589
33.83333198,326.2039985,473.7960015
33.91666531,326.1647559,473.8352441
33.99999864,326.1264138,473.8735862
34.08333197,326.0889731,473.9110269
34.1666653,326.0524342,473.9475658
34.24999863,326.0167967,473.9832033
34.33333196,325.9820624,474.0179376
34.41666529,325.9482303,474.0517697
34.49999862,325.9153019,474.0846981
34.58333195,325.8832775,474.1167225
34.66666528,325.8521567,474.1478433
34.74999861,325.8219405,474.1780595
34.83333194,325.7926292,474.2073708
34.91666527,325.7642233,474.2357767
34.9999986,325.7367228,474.2632772
35.08333193,325.7101282,474.2898718
35.16666526,325.6844394,474.3155606
35.24999859,325.6596579,474.3403421
35.33333192,325.6357826,474.3642174
35.41666525,325.6128145,474.3871855
35.49999858,325.5907541,474.4092459
35.58333191,325.5696013,474.4303987
35.66666524,325.5493562,474.4506438
35.74999857,325.5300196,474.4699804
35.8333319,325.5115912,474.4884088
35.91666523,325.4940712,474.5059288
35.99999856,325.4774607,474.5225393
36.08333189,325.4617588,474.5382412
36.16666522,325.4469663,474.5530337
36.24999855,325.4330832,474.5669168
36.33333188,325.4201096,474.5798904
36.41666521,325.4080454,474.5919546
36.49999854,325.3968915,474.6031085
36.58333187,325.386648,474.613352
36.6666652,325.3773139,474.6226861
36.74999853,325.3688906,474.6311094
36.83333186,325.3613777,474.6386223
36.91666519,325.354775,474.645225
36.99999852,325.3490828,474.6509172
37.08333185,325.3443012,474.6556988
37.16666518,325.3404305,474.6595695
37.24999851,325.3374706,474.6625294
37.33333184,325.3354214,474.6645786
37.41666517,325.3342826,474.6657174
37.4999985,325.334055,474.665945
37.58333183,325.3347382,474.6652618
37.66666516,325.3363322,474.6636678
37.74999849,325.338837,474.661163
37.83333182,325.3422521,474.6577479
37.91666515,325.3465784,474.6534216
37.99999848,325.3518151,474.6481849
38.08333181,325.3579626,474.6420374
38.16666514,325.3650204,474.6349796
38.24999847,325.3729885,474.6270115
38.3333318,325.3818669,474.6181331
38.41666513,325.3916557,474.6083443
38.49999846,325.4023549,474.5976451
38.58333179,325.4139639,474.5860361
38.66666512,325.4264824,474.5735176
38.74999845,325.4399107,474.5600893
38.83333178,325.454249,474.545751
38.91666511,325.4694962,474.5305038
38.99999844,325.4856524,474.5143476
39.08333177,325.5027176,474.4972824
39.1666651,325.5206918,474.4793082
39.24999843,325.5395746,474.4604254
39.33333176,325.5593654,474.4406346
39.41666509,325.5800644,474.4199356
39.49999842,325.601671,474.398329
39.58333175,325.6241852,474.3758148
39.66666508,325.6476067,474.3523933
39.74999841,325.6719353,474.3280647
39.83333174,325.6971707,474.3028293
39.91666507,325.7233119,474.2766881
39.9999984,325.7503599,474.2496401
40.08333173,325.7783129,474.2216871
40.16666506,325.8071717,474.1928283
40.24999839,325.8369355,474.1630645
40.33333172,325.8676042,474.1323958
40.41666505,325.8991766,474.1008234
40.49999838,325.9316534,474.0683466
40.58333171,325.9650335,474.0349665
40.66666504,325.9993167,474.0006833
40.74999837,326.0345026,473.9654974
40.8333317,326.0705908,473.9294092
40.91666503,326.1075808,473.8924192
40.99999836,326.1454722,473.8545278
41.08333169,326.1842645,473.8157355
41.16666502,326.2239573,473.7760427
41.24999835,326.2645497,473.7354503
41.33333168,326.3060421,473.6939579
41.41666501,326.3484332,473.6515668
41.49999834,326.3917226,473.6082774
41.58333167,326.4359097,473.5640903
41.666665,326.4809946,473.5190054
41.74999833,326.526976,473.473024
41.83333166,326.5738538,473.4261462
41.91666499,326.6216276,473.3783724
